settings.helpPageInputCompanyName					Nom du client
help.labelSubtopicHeader					Sous-catégorie
help.labelTopicHeader					Catégorie
help-topic.topic1					A propos de l'application mobile CMA CGM
help-topic.topic2					Suivi de conteneurs
help-topic.topic3					Horaires
help-subtopic.subtopic_technical_issue_mobile_app					Problèmes techniques
help-subtopic.subtopic_improvement_suggestion_mobile_app					Proposition d'amélioration
help-subtopic.subtopic_other_question_or_suggestion_mobile_app					Autres questions ou suggestions
help-subtopic.subtopic_estimated_time_of_arrival					Heure d'arrivée estimée
help-subtopic.subtopic_transhipment_details					Détail du Transbordement
help-subtopic.subtopic_container_status					Statut du conteneur
help-subtopic.subtopic_vessel_name					Nom du navire
help-subtopic.subtopic_delay_transit_time					Délai / Transit Time
help-subtopic.subtopic_tracking_events					Evénements tracking
help-subtopic.subtopic_other_question_container					Autres questions
help-subtopic.subtopic_routing_finder					Calcul d'Itinéraire
help-subtopic.subtopic_port_to_port					Horaires par port
help-subtopic.subtopic_vessel_finder					Recheche de navire
help-subtopic.subtopic_other_question_schedules					Autres questions
container-tracking.containerinfoText					Information
container-tracking.conatinerinfoLocation					A partir du
container-tracking.toContainerInfo					A
share.TEXT_SUB_SINGLE_CONTAINER					Suivre le tracking du conteneur
share.TEXT_SUB_MULTI_CONTAINER					Suivre le tracking pour
share.TEXT_Hi					Bonjour,
share.TEXT_LN1					Je pensais que vous souhaitiez suivre le tracking de
share.TEXT_LN2					Pour plus d'informations
share.TEXT_CRL					Liste de résultats de conteneurs
share.TEXT_FROM					A partir du
share.TEXT_LOADING					Chargé à
share.TEXT_DISCHARGING					Déchargeant à
share.TEXT_TO					Destination
share.TEXT_CURRENTMOVE					Mouvement actuel
share.TEXT_PROVISIONALMOVE					Mouvements prévisionnels
share.TEXT_PASTMOVE					Mouvement effectué
share.TEXT_FTLN1					Grâce à notre application, suivez vos chargements et consultez nos horaires sur votre smartphone !
share.TEXT_FTLN2					CMA CGM disponible sur Apple App Store et Google Play
bookmarks.labelBookmarksHeader					Favoris
bookmarks.trackingTab					Suivi
bookmarks.voyageTab					Voyage
bookmarks.scheduleTab					Routing
more.labelSettingsContact					Contact
more.headerTextContact					Contact
msg.ER_TEXT_5					Format incorrect
msg.ER_TEXT_3					Erreur
msg.ER_TEXT_4					L'application CMA CGM n'est pas disponible actuellement. Merci d'essayer ultérieurement ou consultez notre site web cma-cgm.com
msg.ER_TEXT_16					Alerte
msg.ER_TEXT_9					Message envoyé
msg.ER_TEXT_10					Votre message a été envoyé avec succès. CMA CGM vous contactera par email prochainement.
msg.ER_TEXT_11					Erreur Formulaire de Contact
msg.ER_TEXT_14					Pas de réseau détecté. Merci de vérifier votre connexion réseau.
msg.ER_TEXT_17					10 recherches maximum peuvent être marquées en tant que favoris
msg.ER_TEXT_18					Mauvais format d'email, merci de vérifier
container-tracking.labelProvisionalMovesNotFound					Nous n'avons pas trouvé de mouvements prévisionnels, vous pouvez contacter le Support Client pour plus d'informations
container-tracking.containerInfo					Information Conteneur
share.TEXT_SUB_FROM					Solution de
share.TEXT_SUB_TO					A
share.TEXT_CMAURLMSG					Vous pourriez être intéressé par la solution suivante disponible sur http://www.cma-cgm.com
share.TEXT_BETWEEN					Entre
share.TEXT_AND					et
share.TEXT_MOREINFO					Pour plus d'informations
share.TEXT_DAYS					Jours
share.TEXT_DEPARTURE					Départ
share.TEXT_CUTOFF					Cutoff
share.TEXT_SERVICE					Service
share.TEXT_VESSEL					Navire
share.TEXT_VOYAGE_REF					Réf. voyage
share.TEXT_ON_CMACGM					sur cma-cgm.com
share.TEXT_ARRIVAL					Arrivée
share.TEXT_VOYAGE					Voyage
share.TEXT_VOAYGECMAURL					Vous pourriez être intéressé par ce Voyage disponible sur http://www.cma-cgm.com
share.TEXT_VOYAGE_REFERENCE					Numéro de voyage
share.TEXT_PAST_CALL					Escale précédente
share.TEXT_FUTURE_CALL					Prochaine escale
share.TEXT_CURRENT_CALL					Escale en cours
share.TEXT_SAIL					Départ
voyage.voyageFinderVoyageTab					Voyage
voyage.voyageFinderVesselTab					Navire
voyage.voyagePreviousTab					Recherches précédentes
voyage.voyageBookmarkTab					Favoris
voyage.vesselPreviousTab					Recherches précédentes
voyage.vesselBookmarkTab					Favoris
voyage.vd_past_call					Escale précédente
voyage.vd_future_call					Prochaine escale
routing.routing_details_fastsearch_page_title					Routing
routing.routing_fs_page_cancel					Annuler
routing.routing_details_browselabel1					Naviguer
routing.routing_details_browselabel2					Naviguer
routing.routing_details_countryid1					Sélectionner un pays
routing.routing_details_countryid2					Sélectionner un pays
routing.routing_deatils_placeid1					Choisir un lieu
routing.routing_deatils_placeid2					Choisir un lieu
routing.routing_deatils_search					Chercher sur
routing.routing_deatils_from					A partir du
routing.routing_deatils_next					Suivant
routing.routing_details_morefilterbtn					Plus de filtres
routing.routing_details_hidefilterbtn					Masquer Filtre
routing.routing_fs_filter					Filtre
routing.labelWeekHeader					Sélectionner une semaine
routing.morefilterbtn					Plus de filtres
routing.headerText_routing_result					Routing
routing.settingsLanguageHeader					Paramètres
routing.routeloading					Lieu de Chargement
routing.autocomplete					Lieu de Chargement
routing.routedischarge					Lieu de Déchargement
routing.autocomplete1					Lieu de Déchargement
routing.browselabel1					Naviguer
routing.browselabel2					Naviguer
routing.lessfilterbtn					Masquer Filtre
routing.searchbtn					Rechercher
routing.countryid1					Pays
routing.countryid2					Pays
routing.placeid1					Ville
routing.placeid2					Ville
routing.search					Chercher sur
routing.from					A partir du
routing.next					Suivant
routing.vd_nextBtn					Suivant
routing.search1					Arrivée
routing.search2					Départ
routing.labelSearchHeader					Rechercher
routing.week1					1 Semaine
routing.week2					2 Semaines
routing.week3					3 Semaines
msg.ER_TEXT_VD1					Les schedules ci dessus sont prévisionnels et peuvent subir des changements.
msg.ER_TEXT_VD2					Les horaires affichées sont des horaires locales
msg.ER_TEXT_TR					Le détail des contacts des terminaux fournis sont collectés et mis à jour par le carrier dans son propre système
msg.ER_TEXT_TR1					L'exactitude des données n'est pas garantie. Si vous notez une information incorrecte, merci
voyage.vd_cutoff					Cutoff
voyage.vd_arrival					Arrivée
voyage.vd_sail					Départ
voyage.vd-terminalBtn-current					Terminal
voyage.displayTerminal					Terminal
voyage.vd-terminalBtn-future					Terminal
voyage.vd-terminalBtn-past					Terminal
voyage.vd_fastsearch_header_text					Recherche d'un Voyage
voyage.vd_header_text					Recherche d'un Voyage
voyage.headerText_voyage2					Recherche d'un Voyage
voyage.vd_fastsearch_title					Recherche d'un Voyage
voyage.headerText_vd					Recherche d'un Voyage
voyage.vd_fastsearch_voyage_tab					Voyage
voyage.vd_fastsearch_vessel_tab					Navire
voyage.vf-voyage-search-text					#N/A
voyage.vesselautocomplete					#N/A
routing.rd_schedule					Horaire
routing.rd_days					Jours
routing.rd_from					A partir du
routing.rd_departure					Départ
routing.rd_arrival					Arrivée
routing.rd_cutoff					Cutoff
routing.rd_service					Service
routing.rd_vessel					Navire
routing.rd_voyage_ref					Réf. voyage
routing.rd_via					Via
routing.rd_to					A
msg.ER_TEXT_VF_NOVOYAGE					#N/A
container-tracking.destinationLabel					Destination
container-tracking.placeOfLodingLabel					Port de chargement
msg.ER_TEXT_MANDATORY					Entrez une valeur pour votre recherche.
msg.ER_TEXT_VESSEL_INVALID					Ce nom de navire est invalide. Veuillez vérifier s'il vous plait.
msg.ER_TEXT_RER_INVALID					La référence n'est pas valide. Merci de vérifier.
common.containers					Conteneurs
common.toolbarhelp					Contact
common.help_android					Contact
common.toolbarshare					Partager
common.loading					Chargement
msg.ER_TEXT_NORESULT					Pas de résultats. Merci d'essayer une nouvelle recherche.
msg.ER_TOPIC_INVALID					Choisir une catégorie
voyage.headerText_termianal2					Info Terminal
voyage.TerminalSearchHeader					Info Terminal
routing.routing_solution					Solution
Terminal.phone					Téléphone
Terminal.na					N/A
msg.ER_TEXT_1_NEW					non trouvé, déjà vidé ou retourné au dépôt, merci de contacter le service client pour plus d'informations.
help.helpPageSend					Envoyer
terminal.termnal_contactus					nous contacter
bookmarks.dataTabContainer1					Pas de favoris
bookmarks.dataTabContainer2					Pas de favoris
bookmarks.dataTabContainer3					Pas de favoris
common.placeOfDischargeLabel					Port de Déchargement
